ConceptA,ConceptB,pred
2-universal,4-way independence,0
2-universal,affinity matrix,0
2-universal,k-means,0
2-universal,singular value decomposition,0
2-universal,almost surely,0
2-universal,anchor term,0
2-universal,aperiodic,0
2-universal,arithmetic mean,0
2-universal,bad pair,0
2-universal,bayes rule,0
2-universal,bayesian,0
2-universal,bayesian network,0
2-universal,belief network,0
2-universal,belief propagation,0
2-universal,bernoulli trials,0
2-universal,best fit,0
2-universal,binomial distribution,0
2-universal,boosting,0
2-universal,branching process,0
2-universal,cartesian coordinates,0
2-universal,cauchy-schwartz inequality,0
2-universal,central limit theorem,0
2-universal,characteristic equation,0
2-universal,characteristic function,0
2-universal,chernoff bounds,0
2-universal,clustering,0
2-universal,k-center criterion,0
2-universal,sparse cuts,0
2-universal,cohesion,0
2-universal,combining expert advice,0
2-universal,commute time,0
2-universal,conditional probability,0
2-universal,conductance,0
2-universal,polar,0
2-universal,coupon collector problem,0
2-universal,cumulative distribution function,1
2-universal,cycles,0
2-universal,emergence,0
2-universal,number of,0
2-universal,frequency moments,0
2-universal,frequent element,0
2-universal,majority element,0
2-universal,number of distinct elements,0
2-universal,second moment,0
2-universal,degree distribution,0
2-universal,power law,0
2-universal,depth first search,0
2-universal,diagonalizable,0
2-universal,diameter of a graph,0
2-universal,diameter two,0
2-universal,dilation,0
2-universal,disappearance of isolated vertices,0
2-universal,discovery time,0
2-universal,effective resistance,0
2-universal,eigenvalue,0
2-universal,eigenvector,0
2-universal,electrical network,0
2-universal,escape probability,0
2-universal,event,0
2-universal,expected value,0
2-universal,exponential generating function,0
2-universal,extinction probability,0
2-universal,finite fields,0
2-universal,first moment method,0
2-universal,fourier transform,0
2-universal,frequency domain,0
2-universal,g(n,0
2-universal,p),0
2-universal,gamma function,0
2-universal,gaussian,0
2-universal,tail,0
2-universal,general tail bounds,0
2-universal,generating function,0
2-universal,component size,0
2-universal,geometric mean,0
2-universal,giant component,0
2-universal,gibbs sampling,0
2-universal,resistance,0
2-universal,graphical model,0
2-universal,growth models,0
2-universal,with preferential attachment,0
2-universal,without preferential attachment,0
2-universal,haar wavelet,0
2-universal,harmonic function,0
2-universal,heavy tail,0
2-universal,hidden markov model,0
2-universal,hitting time,0
2-universal,immortality probability,0
2-universal,incoherent,0
2-universal,increasing property,0
2-universal,unsatisfiability,0
2-universal,independent,0
2-universal,indicator random variable,1
2-universal,of triangle,0
2-universal,indicator variable,0
2-universal,ising model,0
2-universal,isolated vertices,0
2-universal,johnson-lindenstrauss lemma,0
2-universal,k-clustering,0
2-universal,k-means clustering algorithm,0
2-universal,kernel methods,0
2-universal,kleinberg,0
2-universal,lagrange,0
2-universal,laplacian,0
2-universal,law of large numbers,0
2-universal,learning,0
2-universal,linearity of expectation,0
2-universal,local algorithm,0
2-universal,m-fold,0
2-universal,markov chain,0
2-universal,state,0
2-universal,markov chain monte carlo,0
2-universal,markov random field,0
2-universal,similar,0
2-universal,maximum cut problem,0
2-universal,maximum likelihood estimation,0
2-universal,maximum likelihood estimator,0
2-universal,mcmc,0
2-universal,mean value theorem,0
2-universal,median,0
2-universal,metropolis-hastings algorithm,0
2-universal,mixing time,0
2-universal,molloy reed,0
2-universal,moment generating function,0
2-universal,mutually independent,0
2-universal,nearest neighbor problem,0
2-universal,normalized conductance,0
2-universal,orthonormal,0
