ConceptA,ConceptB,ChapterDist,PageDist,LineDist,WordDist,Total,LineCount,WordCount,Complexity,Prereq,Avg_ChapterDist,Avg_PageDist,Avg_LineDist,Avg_WordDist,pred,bin_id,match
Prime number,Parity (mathematics),1862,72278,0,-70,546,8,1,-71,0,3.41025641025641,132.37728937728937,0.0,-70.0,0,31,1
Prime number,Zero of a function,90342,3376238,0,0,12572,1,1,-1789,0,7.185968819599109,268.5521794463888,0.0,0.0,0,0,1
Prime number,Polynomial long division,20664,809011,0,0,2401,4,1,-336,0,8.606413994169095,336.9475218658892,0.0,0.0,0,26,1
Prime number,Fundamental theorem of algebra,630,23200,0,0,70,1,1,-3,0,9.0,331.42857142857144,0.0,0.0,0,32,1
Prime number,Floor and ceiling functions,90342,3376238,0,0,12572,1,1,-1789,0,7.185968819599109,268.5521794463888,0.0,0.0,0,0,1
Prime number,Binary logarithm,8729,297437,0,0,1127,1,1,-154,0,7.745341614906832,263.9192546583851,0.0,0.0,0,29,1
Parity (mathematics),Even and odd functions,2772,118038,0,0,468,1,1,72,0,5.923076923076923,252.21794871794873,0.0,0.0,0,34,1
Parity (mathematics),Square (algebra),59940,2918268,0,-153,20826,42,3,-189,0,2.878133102852204,140.12618841832324,0.0,-51.0,0,29,1
Parity (mathematics),Limit of a sequence,-129918,-5931738,0,662,16848,19,2,-138,0,-7.711182336182336,-352.07371794871796,0.0,331.0,1,30,0
Parity (mathematics),Scientific notation,1776,107028,0,-33,234,10,1,75,0,7.589743589743589,457.38461538461536,0.0,-33.0,0,34,1
Parity (mathematics),Mathematical proof,-578,-26750,0,0,78,1,1,77,0,-7.410256410256411,-342.94871794871796,0.0,0.0,0,34,1
Parity (mathematics),Number,45602,2330000,0,0,11856,6,1,-74,0,3.8463225371120107,196.52496626180837,0.0,0.0,0,31,1
Parity (mathematics),Division (mathematics),23840,986996,0,144,5772,10,1,4,0,4.130284130284131,170.997227997228,0.0,144.0,0,33,1
Zero of a function,Graph of a function,45908,4120124,0,-194,71840,329,40,1756,0,0.6390311804008909,57.351391982182626,0.0,-4.85,0,63,1
Zero of a function,Geometry,-141002,-4310986,0,61,62860,26,1,1761,0,-2.2431116767419663,-68.58075087496023,0.0,61.0,0,63,1
Function (mathematics),Zero of a function,528932,19076468,0,-28,140088,96,4,-1718,1,3.775712409342699,136.17489006909943,0.0,-7.0,1,0,1
Zero of a function,Real number,19276,16475088,0,-3343,272992,309,36,1644,0,0.07061012776931191,60.35007619270895,0.0,-92.86111111111111,0,63,1
Zero of a function,Domain of a function,13032,942012,0,-39,7184,52,4,1792,0,1.8140311804008908,131.12639198218264,0.0,-9.75,0,63,1
Polynomial long division,Degree of a polynomial,956,85051,0,-281,686,9,2,341,0,1.3935860058309038,123.98104956268222,0.0,-140.5,0,39,1
Polynomial long division,Graph of a function,-875034,-42133446,0,-1241,616028,959,91,-1453,0,-1.420445174569987,-68.39534241950041,0.0,-13.637362637362637,0,3,1
Polynomial long division,Descartes' rule of signs,-251611,-9946320,0,-1325,72716,204,16,131,1,-3.4601875790747565,-136.78310138071402,0.0,-82.8125,1,35,1
Polynomial,Polynomial long division,-956,-85051,0,281,686,9,2,-341,1,-1.3935860058309038,-123.98104956268222,0.0,140.5,1,26,1
Division (mathematics),Polynomial long division,139018,5473072,0,285,26754,32,1,-265,1,5.196157583912686,204.57023248859983,0.0,285.0,1,27,1
