"('amazon cloudfront', 'amazon cloudwatch')","[5, -18, 0, 0, 10, 0, 0, -6]"
"('amazon cloudfront', 'amazon devpay')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'amazon elastic block store (ebs)')","[1, -28, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon machine images (amis)')","[1, -4, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'iaas model')","[22, 576, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'instances')","[159, 2780, 0, 0, 162, 0, 0, -158]"
"('amazon cloudfront', 'amazon elastic mapreduce')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'amazon flexible payments service')","[1, -2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'quick starts')","[1, -2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon fulfillment web services')","[1, -2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'ec2 service zones')","[1, -12, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'elastic ip address')","[4, -44, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'elastic load balancing')","[2, -6, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'high cpu instances')","[1, -6, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'high memory instances')","[1, -6, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'on-demand instance')","[1, -8, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'reserved instances')","[1, -8, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'standard instances')","[1, -6, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'system images')","[14, 334, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'virtual appliances')","[155, 4876, 0, 0, 44, 0, 0, -40]"
"('amazon cloudfront', 'amazon mechanical turk')","[1, 0, 0, 0, 2, 2, 0, 2]"
"('amazon cloudfront', 'amazon relational database service (rds)')","[1, -36, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon s3 web services')","[3, 80, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon simple notification service')","[1, 2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon simple queue service')","[1, 4, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon simple storage system (s3)')","[1, -26, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'amazon simpledb')","[8, 82, 0, 0, 8, 0, 0, -4]"
"('amazon cloudfront', 'amazon virtual private cloud')","[1, -2, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '10 laws of behavioral cloudonomics')","[9, 304, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '10 laws of cloudonomics')","[9, 312, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'joe wienman')","[9, 312, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '30 boxes')","[-8, -336, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'online calendar program')","[-8, -336, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '3-2-1 rule')","[-7, -288, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', '3tera')","[-2, -122, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'cloud management')","[-30, -1830, 0, 0, 34, 0, 0, -30]"
"('amazon cloudfront', 'abstraction')","[227, 4616, 0, 0, 90, 0, 0, -86]"
"('amazon cloudfront', 'access control')","[38, 68, 0, 0, 50, 0, 0, -46]"
"('amazon cloudfront', 'access')","[-379, -29908, 0, -328, 622, 6, 2, -618]"
"('amazon cloudfront', 'accounting packages')","[2, 0, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'accounts')","[-213, -10340, 0, 0, 100, 0, 0, -96]"
"('amazon cloudfront', 'acid principle')","[-11, -462, 0, 0, 4, 0, 0, 0]"
"('amazon cloudfront', 'acrobat.com')","[-63, -2626, 0, 0, 16, 0, 0, -12]"
"('amazon cloudfront', 'actional 8.0')","[-5, -222, 0, 0, 2, 0, 0, 2]"
"('amazon cloudfront', 'soa security')","[-15, -662, 0, 0, 6, 0, 0, -2]"
"('amazon cloudfront', 'azure')","[177, -3082, 0, 0, 304, 0, 0, -300]"
"('amazon cloudfront', 'contact')","[-144, -7052, 0, 0, 56, 0, 0, -52]"
