check constraint,111,200,0,441
check constraint,111,200,2,121
check constraint,111,200,4,54
check constraint,117,214,2,236
deductive database,536,847,0,3
deductive database,536,847,6,26
deductive database,540,853,0,0
deductive database,547,862,0,123
deductive database,548,865,0,0
deductive database,553,874,19,30
deductive database,553,874,22,48
deductive database,553,875,0,50
deductive database,676,1037,14,34
deductive database,676,1045,72,14
deductive database,676,1053,31,39
deductive database,676,1053,33,12
deductive database,676,1061,11,16
deductive database,676,1065,9,50
deductive database,676,1065,12,29
deductive database,676,1066,45,20
deductive database,676,1071,66,38
deductive database,676,1071,81,20
deductive database,676,1074,21,4
data integrity,11,43,3,3
relational database,6,37,7,86
relational database,6,38,15,86
relational database,8,40,14,27
relational database,25,61,10,125
relational database,25,62,1,110
relational database,46,91,5,24
relational database,46,92,13,0
relational database,47,93,5,48
relational database,49,95,19,2
relational database,49,95,20,4
relational database,53,103,3,118
relational database,57,107,4,31
relational database,57,108,8,89
relational database,58,109,3,115
relational database,66,121,5,212
relational database,69,129,5,28
relational database,69,129,17,82
relational database,70,131,2,112
relational database,71,132,13,97
relational database,71,132,17,37
relational database,71,132,20,25
relational database,84,160,1,87
relational database,438,718,4,59
relational database,499,803,15,111
relational database,500,805,9,184
relational database,500,805,10,51
relational database,526,831,4,47
relational database,610,957,5,125
relational database,610,957,7,118
relational database,611,958,9,24
relational database,627,976,18,5
relational database,635,983,0,92
relational database,657,1022,6,64
relational database,676,1036,52,23
relational database,676,1037,52,0
relational database,676,1041,43,24
relational database,676,1045,36,0
relational database,676,1045,42,62
relational database,676,1045,75,31
relational database,676,1047,30,43
relational database,676,1047,67,53
relational database,676,1047,69,17
relational database,676,1048,61,13
relational database,676,1049,64,50
relational database,676,1051,32,43
relational database,676,1054,53,26
relational database,676,1055,41,12
relational database,676,1056,42,52
relational database,676,1057,90,16
relational database,676,1059,43,15
relational database,676,1059,78,15
relational database,676,1060,11,41
relational database,676,1060,30,34
relational database,676,1062,60,10
relational database,676,1066,84,24
relational database,676,1067,60,27
relational database,676,1068,70,48
relational database,676,1070,2,26
relational database,676,1070,9,33
relational database,676,1073,21,22
domain relational calculus,80,151,0,51
domain relational calculus,82,156,1,6
domain relational calculus,86,162,16,128
weak entity,33,70,4,30
weak entity,33,70,5,2
weak entity,33,70,6,72
weak entity,33,70,7,72
weak entity,33,70,8,8
weak entity,33,70,10,27
weak entity,34,71,0,48
weak entity,34,71,2,44
weak entity,34,71,5,24
weak entity,39,77,15,21
weak entity,44,85,19,10
weak entity,44,86,3,41
weak entity,63,116,0,31
weak entity,63,116,1,121
weak entity,63,116,3,24
weak entity,63,116,5,37
weak entity,66,120,3,68
weak entity,69,129,9,37
sql,8,40,14,4
sql,8,40,15,0
sql,12,46,13,77
sql,18,50,14,37
sql,20,53,10,17
sql,20,53,11,27
sql,20,54,3,16
sql,46,91,4,55
sql,46,91,7,88
sql,46,92,0,13
sql,46,92,1,125
sql,46,92,2,25
sql,46,92,3,80
sql,46,92,4,36
sql,46,92,5,10
sql,46,92,6,42
sql,46,92,7,61
sql,46,92,8,16
sql,46,92,12,189
sql,46,92,17,115
sql,47,93,0,121
sql,47,93,3,100
sql,47,93,4,220
sql,47,93,6,28
sql,49,95,4,16
sql,49,96,1,45
sql,49,96,2,14
sql,49,96,8,125
sql,52,100,0,33
sql,52,100,2,1
sql,52,101,8,122
sql,52,102,0,41
sql,53,103,6,64
sql,53,103,7,11
sql,53,103,10,69
sql,54,104,0,228
sql,54,104,5,0
sql,55,105,5,0
sql,55,105,15,0
sql,56,106,3,56
sql,56,106,10,0
sql,57,107,7,0
sql,57,107,8,20
sql,57,107,9,158
sql,57,107,13,173
sql,57,108,6,32
sql,58,109,2,121
sql,58,109,7,157
sql,59,110,8,203
sql,59,112,6,56
sql,60,113,4,14
sql,60,113,10,14
sql,62,115,1,85
sql,62,115,2,78
sql,62,115,8,63
sql,62,115,12,58
sql,65,118,5,65
sql,66,120,11,6
sql,67,122,6,4
sql,67,122,19,12
sql,68,123,0,59
sql,68,123,2,18
sql,68,123,4,0
sql,68,123,8,300
sql,68,123,11,41
sql,69,125,14,43
sql,69,125,15,27
sql,69,128,1,4
sql,69,128,11,21
sql,69,128,15,39
sql,69,128,16,50
sql,69,129,2,19
sql,69,129,6,56
sql,69,129,14,9
sql,69,129,15,29
sql,69,129,19,54
sql,69,130,5,13
sql,69,130,6,31
sql,69,130,7,12
sql,69,130,8,12
sql,69,130,9,12
sql,69,130,11,26
sql,69,130,14,70
sql,69,130,19,6
sql,69,130,22,7
sql,69,130,25,6
sql,70,131,0,149
sql,70,131,3,9
sql,70,131,4,81
sql,70,131,5,97
sql,70,131,8,19
sql,70,131,9,212
sql,70,131,10,20
sql,71,132,10,22
sql,72,133,1,18
sql,72,133,8,18
sql,73,134,0,96
sql,74,135,3,161
sql,78,144,8,67
sql,78,144,9,112
sql,78,146,5,53
sql,78,146,6,23
sql,80,150,14,97
sql,80,151,1,36
sql,88,164,0,2
sql,88,164,1,8
sql,88,164,2,32
sql,88,164,3,47
sql,88,164,4,14
sql,88,164,12,18
sql,88,164,19,67
sql,88,165,0,4
sql,88,165,1,64
sql,88,165,4,4
sql,88,165,7,68
sql,88,165,8,0
sql,88,165,9,34
sql,88,165,10,4
sql,88,165,11,41
sql,88,165,12,17
sql,88,165,13,56
sql,88,165,16,54
sql,88,165,18,33
sql,88,165,19,56
sql,88,166,2,0
sql,88,166,4,23
sql,88,166,5,8
sql,88,166,7,130
sql,88,166,11,12
sql,88,166,13,25
sql,88,166,15,17
sql,88,166,16,195
sql,88,167,0,0
sql,88,167,1,30
sql,88,167,4,225
sql,88,167,5,24
sql,88,167,8,21
sql,88,168,3,31
sql,89,169,0,0
sql,89,169,8,72
sql,90,170,3,117
sql,90,170,4,38
sql,90,170,13,73
sql,90,170,14,75
sql,90,171,3,168
sql,91,172,2,78
sql,91,173,0,0
sql,91,173,11,52
sql,91,174,1,96
sql,91,174,2,25
sql,91,174,8,3
sql,91,174,10,13
sql,92,175,0,0
sql,92,175,7,23
sql,92,175,8,72
sql,92,175,10,33
sql,92,175,12,0
sql,92,175,13,2
sql,92,175,16,165
sql,93,177,0,0
sql,93,177,5,59
sql,94,178,6,56
sql,95,179,0,0
sql,95,179,1,35
sql,95,179,2,28
sql,95,179,7,84
sql,96,181,0,0
sql,97,182,7,0
sql,97,183,0,0
sql,97,184,0,519
sql,98,185,0,0
sql,98,185,1,26
sql,98,185,2,44
sql,98,185,4,37
sql,98,185,7,0
sql,98,185,12,94
sql,98,186,4,34
sql,98,186,9,133
sql,98,186,10,55
sql,98,188,0,39
sql,98,188,1,11
sql,98,188,11,62
